Week,Position,Track,Artist,Plays,Track URL
2016-12-23--2016-12-30,1,All I Want for Christmas Is You,Mariah Carey,2414608,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2016-12-23--2016-12-30,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2406621,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
2016-12-23--2016-12-30,3,Last Christmas,Wham!,2345002,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
2016-12-23--2016-12-30,4,Fairytale of New York (feat. Kirsty MacColl),The Pogues,1879767,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
2016-12-23--2016-12-30,5,Starboy,The Weeknd,1797034,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
2016-12-23--2016-12-30,6,Say You Won't Let Go,James Arthur,1707282,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
2016-12-23--2016-12-30,7,Merry Christmas Everyone - Remastered,Shakin' Stevens,1703299,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
2016-12-23--2016-12-30,8,I Would Like,Zara Larsson,1628520,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
2016-12-23--2016-12-30,9,Touch,Little Mix,1595408,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
2016-12-23--2016-12-30,10,Just Hold On,Steve Aoki,1568632,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
2016-12-23--2016-12-30,11,Sexual,NEIKED,1567412,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
2016-12-23--2016-12-30,12,Black Beatles,Rae Sremmurd,1493769,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
2016-12-23--2016-12-30,13,Don't Wanna Know,Maroon 5,1486671,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
2016-12-23--2016-12-30,14,It's the Most Wonderful Time of the Year,Andy Williams,1472947,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
2016-12-23--2016-12-30,15,Closer,The Chainsmokers,1411852,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
2016-12-23--2016-12-30,16,24K Magic,Bruno Mars,1391745,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
2016-12-23--2016-12-30,17,Do They Know It's Christmas? - 1984 Version,Band Aid,1342309,https://open.spotify.com/track/1hvpDAxZPKjKztOc72sv06
2016-12-23--2016-12-30,18,It's Beginning to Look a Lot Like Christmas,Michael Bublé,1336880,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
2016-12-23--2016-12-30,19,I Feel It Coming,The Weeknd,1313456,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
2016-12-23--2016-12-30,20,Fake Love,Drake,1298141,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
2016-12-23--2016-12-30,21,Shout Out to My Ex,Little Mix,1274129,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
2016-12-23--2016-12-30,22,I Wish It Could Be Christmas Everyday,Wizzard,1258496,https://open.spotify.com/track/1mH6tZC6iXIHPI6EixCwxw
2016-12-23--2016-12-30,23,All Night,The Vamps,1249782,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0
2016-12-23--2016-12-30,24,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1243523,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
2016-12-23--2016-12-30,25,Human,Rag'n'Bone Man,1237304,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
2016-12-23--2016-12-30,26,Step Into Christmas,Elton John,1225419,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA
2016-12-23--2016-12-30,27,The Mack,Nevada,1214257,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
2016-12-23--2016-12-30,28,By Your Side,Jonas Blue,1196978,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
