"","Artist","Plays last 6mo","Songkick"
"1","Ariana Grande",239122867,"4971683-ariana-grande"
"2","Post Malone",146167847,"8508053-post-malone"
"3","XXXTENTACION",109824830,"8997064"
"4","Drake",85849958,"556955-drake"
"5","Calvin Harris",82582525,"82547-calvin-harris"
"6","Eminem",71877275,"182968-eminem"
"7","Billie Eilish",67838533,"8913479-billie-eilish"
"8","George Ezra",66461109,"NULL"
"9","benny blanco",58493079,"NULL"
"10","Jess Glynne",58233280,"4130211-jess-glynne"
"11","Marshmello",55514778,"NULL"
"12","Lady Gaga",55486705,"974908-lady-gaga"
"13","Khalid",54783940,"894756-khalid"
"14","Hugh Jackman",52867621,"NULL"
"15","Queen",51092636,"469904"
"16","Ava Max",43222574,"9258589-ava-max"
"17","Travis Scott",42254270,"NULL"
"18","Halsey",39254186,"8067338-halsey"
"19","Dua Lipa",39254026,"8310783-dua-lipa"
"20","Juice WRLD",38504071,"NULL"
