"","venueID","venueCapacity","venueLng","venueLat"
"1","297","250","-75.180566","39.973011"
"2","67263",NA,"-75.14406","39.9486212"
"3","108","1650","-95.3546736","29.7521221"
"4","30049","2600","-79.3548415","43.6410129"
"5","621","1300","-87.6292","41.8882"
"6","48772",NA,"-74.0051241","40.7284492"
"7","4855",NA,"-72.92936","41.31157"
"8","15195","18000","-75.6638888","41.3479758"
"9","14746",NA,"-73.8055707","43.0553703"
"10","93618","23100","-80.4342124","40.4197818"
"11","15033","25000","-75.0004321","40.0177386"
"12","633","14400","-73.502518","40.6011406"
"13","47247","20000","-76.10196","36.76867"
"14","497931",NA,"-76.238075","36.7089969"
"15","583","19600","-81.5607834","41.1913469"
"16","3895184",NA,NA,NA
"17","45",NA,"-76.985927","38.914535"
"18","15255",NA,"-78.5763028","35.7493881"
"19","46861","19000","-84.396095","33.7042695"
"20","35923","20000","-112.232875","33.470823"
"21","15902","6189","-118.3532429","34.1380075"
"22","6787","18900","-117.876522","33.807723"
"23","640","12500","-121.939656","37.960355"
"24","1064316","19700","-123.1081074","49.2776612"
"25","100462","18000","-104.89442","39.60081"
"26","11944","19100","-95.996227","36.152764"
"27","492","16500","-95.46403","30.16159"
"28","15064","20100","-96.7568521","32.7740979"
"29","853","8100","-94.5315046","39.006963"
"30","259",NA,"-87.662538","41.9138084"
"31","542","21600","-78.3894454","42.9131989"
"32","488","24000","-85.9309888","40.0049812"
"33","533","28600","-87.7711529","41.5426102"
"34","601","23000","-87.89936","43.03449"
"35","473","20500","-84.416862","39.052082"
"36","28976",NA,"-80.7106699","35.327362"
"37","562791","20000","-82.3588746","27.9896043"
"38","2008454","20737","-80.33023","26.155362"
"39","794506",NA,"-80.1224468","25.8196398"
"40","69040",NA,"-89.27885","31.25621"
"41","102050",NA,"-80.0508919","41.0600055"
"42","81707",NA,"-88.1752054","39.4837448"
"43","36103",NA,"-82.984967","39.96359"
"44","1548",NA,"-77.86664","40.80351"
"45","294951",NA,NA,NA
"46","849331",NA,NA,NA
"47","1293",NA,"-84.47915","42.70419"
"48","1912",NA,"-83.048437","42.329445"
"49","15680","7701","-83.2029949","42.6762827"
"50","1476168",NA,"-79.9576935","39.6443881"
"51","962321",NA,"-84.370747","33.840856"
"52","11017","5300","-81.19737","28.60723"
"53","973706",NA,NA,NA
"54","13332",NA,"-82.43947","34.91607"
"55","335691",NA,NA,NA
"56","7600",NA,"-84.5075342","38.0346934"
"57","4708",NA,"-71.31322","42.64977"
"58","221203",NA,"-76.1382483","43.0376369"
"59","54860",NA,"-71.806218","42.237141"
"60","740",NA,"-76.604426","39.284033"
"61","7553",NA,"-81.3440388","41.1469471"
"62","38664",NA,"-76.4854524","42.4494422"
"63","849351",NA,NA,NA
"64","949","2250","-122.4101811","37.7826598"
"65","2871953",NA,"-118.2654979","34.0449376"
"66","16962","5000","-117.2420168","32.8806504"
"67","983316",NA,"-117.1610838","32.715738"
"68","28679",NA,"-119.6981901","34.4208305"
"69","537","1600","-104.975305","39.740118"
"70","1208",NA,"-96.797987","32.768777"
"71","29431",NA,"-95.3668985","29.7625893"
"72","14630","250","-97.736081","30.268569"
"73","49728",NA,"-114.0536386","51.038804"
"74","1383",NA,"-90.0502487","35.1520881"
"75","68889","2000","-80.84606","35.23912"
"76","4936","1200","-81.69064","41.49923"
"77","883","1500","-84.51005","39.13"
"78","1516",NA,"-71.41817","41.82374"
"79","519",NA,"-72.6802608","41.7780919"
"80","51855",NA,"-74.0747804","40.8248374"
"81","7264","15700","-1.7170202","52.4491038"
"82","45312","21000","-90.469956","38.7456419"
"83","922","1200","-77.0237219","38.9178658"
"84","73423",NA,"-74.0034707","40.7065494"
"85","28639","800","-75.14868","39.94131"
